Input,Outfit Combination
"Male, 38, Trapezoid, Tall, 84kg, Semi-Formal, Western, Fair","A tailored blazer with a V-neck sweater, dark jeans, and leather loafers. This ensemble offers a smart-casual look that suits a trapezoid body shape, with the blazer providing a structured fit. The V-neck sweater adds warmth and style, while dark jeans keep it relaxed yet polished, suitable for semi-formal gatherings."
"Female, 34, Hourglass, Medium, 63kg, Brunch, Western, Tan","A belted midi dress with ankle strap sandals and a crossbody bag. This outfit accentuates an hourglass figure with a cinched waist and flowing skirt, offering elegance for a brunch setting. Ankle strap sandals add sophistication, while the crossbody bag provides practicality and style."
"Male, 29, Pear, Medium, 79kg, Outdoor Adventure, Activewear, Dark","Cargo shorts with a moisture-wicking t-shirt and hiking boots. This activewear ensemble is designed for comfort and functionality, with cargo shorts offering ample storage and a moisture-wicking t-shirt ensuring comfort during outdoor activities. Hiking boots provide stability and support, perfect for an adventurous day outdoors."
"Female, 26, Rectangle, Tall, 60kg, Work, Business Casual, Light","A pencil skirt with a blouse and pointed toe flats. This business casual outfit enhances a rectangle body shape by adding curves with a fitted pencil skirt. The blouse adds a touch of femininity, while pointed toe flats offer comfort and professionalism, ideal for a day at the office."
"Male, 40, Oval, Short, 90kg, Date Night, Western, Medium","A dark wash denim jacket with a t-shirt, chinos, and suede loafers. This outfit balances proportions for an oval body shape, with dark wash denim adding a slimming effect. Chinos offer a polished look, while suede loafers add texture and sophistication, making it perfect for a stylish yet relaxed date night."
"Female, 24, Athletic, Medium, 57kg, Gym, Activewear, Fair","High-waisted leggings with a sports bra and lightweight running shoes. This activewear set is designed to support an athletic build, providing comfort and flexibility. High-waisted leggings offer support, while the sports bra ensures ease of movement. Lightweight running shoes complete the ensemble, suitable for a gym session or workout."
"Female, 24, Rectangle, Medium, 56kg, Cocktail Party, Western, Fair","A fitted satin slip dress with delicate lace trim, paired with strappy stilettos and a clutch bag. The sleek silhouette of the slip dress accentuates the rectangle body shape by adding curves, while the lace trim provides a touch of femininity. Strappy stilettos elevate the look, making it perfect for an elegant cocktail party."
"Male, 31, Pear, Tall, 85kg, Formal Dinner, Western, Olive","A double-breasted suit with a tailored waistcoat and polished leather dress shoes. This outfit accentuates a pear-shaped figure by providing a broad shoulder line, creating a balanced silhouette. The double-breasted suit exudes sophistication, while the waistcoat adds depth, ideal for formal dinners and upscale events."
"Female, 21, Hourglass, Short, 52kg, Casual Outing, Bohemian, Light","A bohemian midi skirt with a crochet top and gladiator sandals. This outfit embraces an hourglass figure, with the fitted crochet top defining the waist and the flowy midi skirt adding movement. Gladiator sandals offer a relaxed yet stylish touch, perfect for a casual day out or a relaxed brunch with friends."
"Male, 40, Athletic, Medium, 90kg, Casual Friday, Western, Dark","Slim-fit dark jeans with a crew-neck sweater and suede loafers. This look highlights an athletic build, offering a comfortable yet polished appearance for a casual office setting. The crew-neck sweater provides a relaxed fit, while the suede loafers add a sophisticated element, making it suitable for casual Fridays at work."
"Female, 33, Oval, Tall, 72kg, Wedding Guest, Traditional, Tan","A silk saree with intricate zari work and a fitted blouse, paired with gold jewelry and embellished sandals. This traditional ensemble flatters an oval body shape by adding definition to the shoulders and waist. The saree's rich fabric and intricate detailing make it a luxurious choice for weddings, ensuring elegance and grace."
"Male, 36, Inverted Triangle, Short, 77kg, Date Night, Western, Medium","A tailored blazer with a v-neck t-shirt and slim-fit jeans, finished with Chelsea boots. This outfit balances broad shoulders typical of an inverted triangle shape, offering a modern and stylish look. The blazer adds structure, while the v-neck t-shirt softens the silhouette. Chelsea boots complete the ensemble, perfect for a date night."
"Female, 27, Petite, Medium, 54kg, Office, Western, Olive","A high-waisted pencil skirt with a tucked-in blouse and pointed-toe heels. This ensemble is perfect for a petite frame, creating an elongated silhouette that is both professional and stylish. The pencil skirt defines the waist, while the tucked-in blouse adds a tailored touch, making it suitable for a productive day at the office."
"Male, 29, Trapezoid, Tall, 80kg, Weekend Getaway, Casual, Fair","Cargo shorts with a graphic tee and slip-on sneakers, complemented by a backpack. This outfit is perfect for a trapezoid body shape, offering comfort and practicality for a weekend getaway. The cargo shorts provide utility, while the graphic tee adds personality. Slip-on sneakers offer convenience, making it ideal for travel or casual outings."
"Female, 38, Apple, Medium, 70kg, Evening Gala, Western, Dark","An off-the-shoulder gown with a cinched waist and elegant pumps, accessorized with a statement necklace. The off-the-shoulder design enhances the apple body shape, highlighting the neckline while the cinched waist creates an hourglass effect. Elegant pumps add height, and the statement necklace adds a touch of glam, perfect for an evening gala."
"Male, 34, Rectangle, Medium, 82kg, Tech Conference, Western, Light","A tailored suit with a patterned tie and leather brogues, complemented by a messenger bag. This ensemble adds dimension to a rectangle body shape, providing a polished and professional look for a tech conference. The tailored suit offers a structured fit, while the patterned tie adds personality. Leather brogues complete the sophisticated outfit."
"Female, 26, Inverted Triangle, Tall, 64kg, Brunch, Western, Light","A peplum top with tailored shorts and wedge sandals. The peplum top adds volume around the hips, balancing broad shoulders typical of an inverted triangle shape. Tailored shorts maintain a clean silhouette, while wedge sandals provide height and comfort. Perfect for a stylish brunch with friends."
"Male, 38, Oval, Medium, 88kg, Casual Friday, Western, Olive","Straight-leg jeans with a polo shirt and casual loafers. This combination offers a relaxed yet polished look for the office, suitable for an oval body shape. Straight-leg jeans provide comfort, while the polo shirt adds a touch of sophistication. Casual loafers complete the ensemble, ideal for a casual Friday at work."
"Female, 32, Pear, Medium, 68kg, Date Night, Bohemian, Dark","A flowy maxi dress with a cinched waist, paired with strappy sandals and boho jewelry. The maxi dress enhances a pear-shaped figure by highlighting the waist and skimming over the hips. Strappy sandals add elegance, and boho jewelry provides a whimsical touch, perfect for a romantic and laid-back date night."
"Male, 45, Rectangle, Tall, 90kg, Outdoor Adventure, Activewear, Medium","Cargo pants with a moisture-wicking t-shirt and hiking boots, completed with a utility vest. This outfit offers functionality and comfort for outdoor adventures, catering to a rectangle body shape. Cargo pants provide storage, while the utility vest adds layers and versatility, ideal for hiking or exploring the outdoors."
"Female, 28, Hourglass, Short, 62kg, Music Festival, Streetwear, Fair","High-waisted shorts with a crop top and chunky sneakers, accessorized with a crossbody bag and sunglasses. This streetwear ensemble highlights the hourglass figure by emphasizing the waist, while high-waisted shorts and a crop top offer a trendy and youthful vibe. Chunky sneakers add comfort, perfect for a music festival."
"Male, 30, Athletic, Medium, 80kg, Networking Event, Western, Dark","A tailored blazer with a patterned pocket square, chinos, and oxford shoes. This outfit accentuates an athletic build, offering a refined look for networking events. The tailored blazer provides a sharp silhouette, while the patterned pocket square adds personality. Chinos and oxford shoes ensure a polished appearance."
"Female, 35, Apple, Medium, 74kg, Business Meeting, Western, Olive","A structured blazer with a wrap blouse and wide-leg trousers, finished with pointed-toe pumps. This outfit is designed to flatter an apple-shaped figure, with a structured blazer adding definition and the wrap blouse creating an hourglass illusion. Wide-leg trousers offer balance, making it suitable for business meetings."
"Male, 50, Trapezoid, Tall, 85kg, Formal Event, Traditional, Tan","A tailored kurta with churidar pants and embroidered jutti shoes. This traditional ensemble provides a classic look for formal events, flattering a trapezoid body shape. The tailored kurta offers a streamlined silhouette, while churidar pants add elegance. Embroidered jutti shoes complete the outfit, perfect for cultural gatherings."
"Female, 22, Petite, Medium, 50kg, Weekend Brunch, Western, Light","A skater dress with ankle boots and a denim jacket, accessorized with a floppy hat. This outfit is perfect for a petite frame, creating an illusion of height while maintaining a playful and casual style. The skater dress defines the waist, while ankle boots and a denim jacket add a touch of edge, ideal for a weekend brunch."
"Male, 27, Pear, Short, 73kg, Beach Day, Swimwear, Dark","Swim trunks with a tank top and flip-flops, completed with a beach hat and sunglasses. This swimwear ensemble is tailored for a pear-shaped figure, offering comfort and style for a day at the beach. Swim trunks provide ease of movement, while the tank top and flip-flops keep it relaxed and casual. A beach hat and sunglasses offer sun protection and a laid-back vibe."
"Female, 25, Hourglass, Tall, 65kg, Wedding Reception, Traditional, Olive","A heavily embroidered lehenga with a fitted blouse and dupatta, paired with statement earrings and bangles. This traditional outfit highlights an hourglass figure, with the lehenga emphasizing the waist and the embroidery adding opulence. The dupatta drapes elegantly, making it perfect for a grand wedding reception."
"Male, 28, Athletic, Short, 75kg, Beach Party, Western, Fair","A pair of tailored swim trunks with a linen button-up shirt and leather sandals. The outfit balances comfort and style, ideal for a beach party. Tailored swim trunks complement an athletic build, while the linen shirt offers breathability and a laid-back vibe. Leather sandals add a touch of elegance to the beach look."
"Girl, 10, Petite, Short, 30kg, Birthday Party, Western, Light","A pastel-colored tutu dress with ballet flats and a floral headband. This outfit is playful and fun, perfect for a birthday party. The tutu dress offers a whimsical feel, and the ballet flats provide comfort for active kids. A floral headband adds a cute touch, making it ideal for a young girl's special day."
"Boy, 12, Slim, Tall, 38kg, School Event, Casual, Medium","A graphic t-shirt with denim shorts and sneakers, accessorized with a baseball cap. This casual outfit is perfect for a school event, combining style and comfort. The graphic t-shirt reflects personality, while denim shorts offer ease of movement. Sneakers ensure practicality, and a baseball cap adds a cool element for a young boy."
"Female, 40, Oval, Medium, 70kg, Evening Gala, Western, Tan","A floor-length A-line gown with a shawl and peep-toe heels. The gown's silhouette flatters an oval body shape by creating a balanced look, with a shawl adding elegance. Peep-toe heels enhance height, making it suitable for an evening gala. The outfit combines sophistication and style, ideal for formal events."
"Male, 55, Rectangle, Medium, 82kg, Business Conference, Western, Olive","A tailored three-piece suit with a silk tie and leather oxford shoes, completed with a briefcase. This outfit exudes professionalism, perfect for a business conference. The three-piece suit provides a structured look, enhancing a rectangle body shape. The silk tie adds luxury, and leather oxford shoes complete the formal ensemble."
"Baby Girl, 2, Chubby, Short, 12kg, Family Gathering, Traditional, Fair","A floral print frock with matching bloomers and soft sandals. This traditional outfit is adorable and comfortable for a baby girl, featuring a floral print frock that allows freedom of movement. Matching bloomers and soft sandals ensure comfort, while the floral design adds a cute and festive touch for a family gathering."
"Baby Boy, 1, Chubby, Medium, 10kg, Photo Shoot, Western, Light","A romper with a bow tie and soft booties, accessorized with a beanie. This outfit is stylish and comfortable, ideal for a baby boy's photo shoot. The romper offers ease of wear, while the bow tie adds a charming element. Soft booties and a beanie ensure warmth and comfort, making it perfect for capturing precious moments."
"Female, 19, Rectangle, Tall, 58kg, University, Casual, Dark","High-waisted jeans with a fitted turtleneck and ankle boots, complemented by a backpack. This casual outfit is perfect for university, providing comfort and style. High-waisted jeans add dimension to a rectangle body shape, while a fitted turtleneck offers warmth. Ankle boots and a backpack complete the practical yet fashionable look."
"Male, 17, Slim, Tall, 65kg, Party, Western, Dark","A graphic sweatshirt with slim-fit jeans and high-top sneakers, accessorized with a watch. This outfit is trendy and youthful, ideal for a teen party. The graphic sweatshirt reflects style, while slim-fit jeans offer a sleek silhouette. High-top sneakers add an urban touch, making it perfect for a young male who wants to look cool and stylish."
"Female, 30, Pear, Medium, 68kg, Cocktail Party, Western, Light","A knee-length wrap dress with metallic heels and a clutch. The wrap dress flatters a pear shape by accentuating the waist and skimming over the hips. Metallic heels add a glamorous touch, and a clutch completes the chic look, perfect for a cocktail party."
"Male, 35, Oval, Medium, 90kg, Wedding, Traditional, Medium","A sherwani with churidar and mojaris. This traditional outfit is perfect for a wedding, offering elegance and style. The sherwani provides a structured look for an oval body shape, while churidar adds a classic touch. Mojaris complete the ensemble, suitable for festive occasions."
"Girl, 8, Slim, Medium, 25kg, School Play, Western, Dark","A plaid skirt with a white blouse and Mary Jane shoes, accessorized with a bow headband. This outfit is cute and suitable for a school play, offering a classic look. The plaid skirt adds charm, while the white blouse and Mary Jane shoes ensure comfort and style for a young girl."
"Boy, 14, Athletic, Tall, 45kg, Sports Day, Activewear, Fair","A breathable sports jersey with shorts and athletic sneakers. This outfit is ideal for sports day, providing comfort and performance. The sports jersey allows ease of movement, while athletic sneakers offer support, perfect for an active young boy."
"Female, 24, Rectangle, Short, 60kg, Art Gallery Opening, Bohemian, Olive","A boho maxi dress with ankle boots and a statement necklace, complemented by a crossbody bag. The maxi dress provides a flowing silhouette, perfect for a rectangle body shape. Ankle boots add edge, while a statement necklace brings personality to the look, ideal for an art gallery opening."
"Male, 32, Trapezoid, Medium, 85kg, Casual Lunch, Western, Light","A denim jacket with a striped t-shirt, chinos, and loafers. This casual outfit is stylish and comfortable, perfect for a casual lunch. The denim jacket offers a classic look, while chinos and loafers provide sophistication, making it ideal for a relaxed yet polished appearance."
"Baby Girl, 3, Chubby, Medium, 14kg, Park Outing, Casual, Fair","A cotton sundress with matching bloomers and soft sandals, accessorized with a sunhat. This outfit is comfortable and cute, ideal for a park outing. The cotton sundress allows freedom of movement, while the sunhat provides sun protection, perfect for a playful day in the park for a baby girl."
"Baby Boy, 2, Slim, Medium, 12kg, Playdate, Casual, Dark","A t-shirt with overalls and sneakers, completed with a baseball cap. This casual outfit is perfect for a playdate, offering comfort and style for a baby boy. The overalls provide ease of wear, while the baseball cap adds a playful touch, making it suitable for active play."
"Female, 27, Inverted Triangle, Medium, 68kg, Concert, Streetwear, Dark","A graphic tee with distressed jeans and combat boots, accessorized with a leather jacket and a choker necklace. This streetwear look is edgy and trendy, perfect for a concert. The graphic tee and distressed jeans offer a rebellious vibe, while combat boots and a leather jacket add to the urban style."
"Male, 40, Athletic, Tall, 92kg, Hiking Trip, Activewear, Olive","A moisture-wicking shirt with cargo shorts and hiking boots, completed with a backpack. This activewear outfit is functional and suitable for a hiking trip, offering durability and comfort. Cargo shorts provide storage, while hiking boots ensure stability, ideal for outdoor enthusiasts."
"Female, 22, Hourglass, Medium, 60kg, Summer Festival, Bohemian, Medium","A floral off-the-shoulder maxi dress with gladiator sandals and a wide-brim hat, accessorized with layered necklaces. This bohemian outfit is perfect for a summer festival, offering a relaxed and stylish vibe. The maxi dress enhances an hourglass figure, while the accessories add a touch of boho charm."
"Male, 45, Rectangle, Medium, 88kg, Business Dinner, Formal, Fair","A tailored navy blazer with a crisp white shirt, dark trousers, and leather dress shoes, completed with a silk pocket square. This formal outfit is ideal for a business dinner, providing sophistication and professionalism. The navy blazer offers a sharp silhouette, while the silk pocket square adds a touch of elegance."
"Girl, 6, Petite, Short, 20kg, Family Wedding, Traditional, Light","A colorful lehenga choli with embroidered details, paired with matching bangles and juttis. This traditional outfit is festive and vibrant, perfect for a family wedding. The lehenga choli allows freedom of movement, while the matching accessories complete the look for a young girl."
"Boy, 16, Slim, Tall, 55kg, Prom Night, Formal, Dark","A fitted black tuxedo with a bow tie and patent leather shoes, accessorized with a wristwatch. This formal outfit is classic and elegant, suitable for prom night. The fitted tuxedo offers a sleek silhouette, while the bow tie and patent leather shoes add a timeless touch, making it perfect for a young gentleman."
"Female, 29, Apple, Short, 70kg, Casual Brunch, Western, Olive","A peplum top with straight-leg jeans and ballet flats, accessorized with a crossbody bag. This casual outfit is chic and comfortable, ideal for a brunch outing. The peplum top flatters an apple shape by emphasizing the waist, while straight-leg jeans offer balance, creating a stylish yet relaxed look."
"Male, 50, Trapezoid, Medium, 95kg, Golf Tournament, Activewear, Tan","A performance polo shirt with tailored golf shorts and golf shoes, accessorized with a visor and a leather belt. This activewear outfit is functional and stylish, perfect for a golf tournament. The performance polo shirt provides comfort and ease of movement, while the tailored shorts add sophistication to the sporty look."
"Baby Girl, 1, Chubby, Short, 10kg, Birthday Party, Western, Fair","A ruffled romper with matching headband and soft booties. This outfit is adorable and comfortable, ideal for a baby girl's birthday party. The ruffled romper offers a cute and playful look, while the matching headband adds a charming touch, making it perfect for a special occasion."
"Baby Boy, 3, Chubby, Medium, 13kg, Beach Day, Casual, Light","A striped tank top with board shorts and water-friendly sandals, accessorized with a sun hat. This casual outfit is perfect for a beach day, offering comfort and protection. The tank top and board shorts allow ease of movement, while the sun hat ensures sun protection for a playful day at the beach."
"Female, 35, Inverted Triangle, Tall, 75kg, Corporate Meeting, Business, Medium","A structured blazer with a pencil skirt and pointed-toe heels, completed with a tote bag. This business outfit exudes confidence and professionalism, ideal for a corporate meeting. The structured blazer balances an inverted triangle shape, while the pencil skirt offers a sleek silhouette, making it suitable for a formal setting."
"Male, 26, Athletic, Short, 80kg, Music Festival, Casual, Dark","A graphic tank top with cargo shorts and high-top sneakers, accessorized with a snapback cap. This casual outfit is trendy and comfortable, perfect for a music festival. The graphic tank top reflects personality, while cargo shorts provide practicality, creating a youthful and stylish look for a lively event."
"Male, 28, Athletic, Tall, 82kg, Outdoor Hiking, Activewear, Olive","A moisture-wicking t-shirt with convertible hiking pants and hiking boots, accessorized with a utility belt and backpack. This activewear outfit is functional and breathable, ideal for outdoor hikes. The convertible pants offer versatility, while the utility belt and backpack provide convenience for carrying essentials."
"Female, 40, Pear, Medium, 72kg, Evening Gala, Formal, Dark","A fitted off-the-shoulder evening gown with a high slit and stiletto heels, accessorized with chandelier earrings and a clutch. This formal outfit is elegant and glamorous, perfect for an evening gala. The off-the-shoulder gown highlights the collarbone while the high slit adds drama, making it ideal for pear-shaped figures."
"Boy, 12, Slim, Short, 38kg, Family Vacation, Casual, Medium","A graphic t-shirt with denim shorts and slip-on sneakers, accessorized with a baseball cap and a smartwatch. This casual outfit is perfect for a family vacation, providing comfort and style. The graphic t-shirt adds personality, while the denim shorts are practical for warm weather activities."
"Female, 33, Rectangle, Medium, 68kg, Cocktail Party, Semi-Formal, Light","A sequined sheath dress with block heels and a metallic clutch, accessorized with statement earrings. This semi-formal outfit is chic and eye-catching, perfect for a cocktail party. The sheath dress adds sparkle, while the block heels provide comfort, making it ideal for a rectangle body shape."
"Baby Boy, 2, Chubby, Short, 12kg, Playdate, Casual, Fair","A short-sleeved romper with playful prints, paired with soft moccasins and a sunhat. This casual outfit is perfect for a baby boy's playdate, providing ease of movement and comfort. The playful prints add a cute touch, while the moccasins are gentle on tiny feet."
"Male, 35, Oval, Tall, 90kg, Beach Wedding, Formal, Medium","A linen suit with a white button-down shirt and loafers, accessorized with a pocket square and aviator sunglasses. This formal beach wedding outfit is relaxed yet sophisticated. The linen suit is breathable for warm weather, while the loafers and pocket square add a refined touch."
"Female, 25, Petite, Short, 50kg, Date Night, Casual Chic, Dark","A cropped leather jacket with a slip dress and ankle boots, accessorized with a crossbody bag and layered necklaces. This casual chic outfit is trendy and cool, perfect for a date night. The cropped jacket adds edge to the slip dress, while ankle boots give a stylish, elongated look for a petite frame."
"Girl, 10, Athletic, Medium, 30kg, School Sports Day, Activewear, Tan","A breathable sports t-shirt with leggings and running shoes, accessorized with a sweatband and water bottle. This activewear outfit is perfect for a school sports day, providing comfort and flexibility. The leggings allow ease of movement, while the sweatband adds a fun, sporty touch."
"Male, 22, Triangle, Tall, 75kg, Casual Office Day, Business Casual, Dark","A knit polo shirt with chinos and loafers, accessorized with a leather strap watch and messenger bag. This business casual outfit is comfortable and stylish, ideal for a casual office day. The knit polo shirt is a relaxed yet professional choice, while the chinos offer a polished look for a tall frame."
"Female, 45, Apple, Medium, 80kg, Parent-Teacher Meeting, Smart Casual, Light","A wrap blouse with wide-leg trousers and ballet flats, accessorized with a tote bag and pearl stud earrings. This smart casual outfit is comfortable and polished, perfect for a parent-teacher meeting. The wrap blouse flatters an apple shape by emphasizing the waist, while the wide-leg trousers create a balanced silhouette."
"Male, 30, Athletic, Medium, 78kg, Formal Office Day, Business Formal, Dark","A tailored navy blue suit with a white dress shirt, paired with black oxford shoes and a silk tie. Accessorized with a leather briefcase and a classic wristwatch. This business formal outfit is sharp and polished, suitable for an office environment. The tailored suit enhances an athletic frame, providing a professional yet stylish appearance."
"Female, 27, Hourglass, Short, 55kg, Casual Shopping Day, Casual, Light","A floral wrap dress with flat sandals, accessorized with a straw hat and a crossbody bag. This casual outfit is perfect for a shopping day, offering both comfort and style. The wrap dress highlights the hourglass figure, while the flat sandals ensure comfort for walking."
"Boy, 8, Slim, Medium, 32kg, School Event, Smart Casual, Fair","A collared polo shirt with khaki shorts and loafers, accessorized with a cap and a wristband. This smart casual outfit is perfect for a school event, offering a neat yet playful look. The polo shirt provides a touch of formality, while the shorts keep the outfit comfortable and suitable for an active child."
"Female, 50, Apple, Tall, 85kg, Evening Dinner, Formal, Dark","A structured A-line midi dress with kitten heels, accessorized with a pearl necklace and a matching clutch. This formal outfit is perfect for an elegant evening dinner. The structured dress skims the body, flattering the apple shape, while the kitten heels offer style without sacrificing comfort."
"Baby Girl, 1, Chubby, Short, 10kg, Birthday Party, Casual, Medium","A cute tutu dress with soft baby shoes, accessorized with a matching headband. This adorable outfit is perfect for a baby girl’s birthday party. The tutu dress adds a festive touch, while the soft shoes and headband complete the look, making sure the baby is comfortable and photo-ready."
"Male, 45, Rectangle, Medium, 82kg, Golf Day, Sporty, Light","A performance polo shirt with tailored golf pants and spikeless golf shoes, accessorized with a visor and a glove. This sporty outfit is perfect for a day on the golf course, providing both comfort and style. The performance polo shirt is breathable, while the tailored pants ensure mobility during the game."
"Female, 22, Pear, Medium, 60kg, Beach Day, Swimwear, Tan","A halter-neck bikini top with high-waisted bottoms, paired with a lightweight cover-up and flip-flops, accessorized with a wide-brimmed sunhat and sunglasses. This swimwear outfit is perfect for a beach day, with the high-waisted bottoms flattering the pear shape and the cover-up adding a stylish layer."
"Girl, 5, Slim, Short, 20kg, School Picnic, Casual, Medium","A playful romper with sandals and a sunhat, accessorized with a small backpack. This casual outfit is ideal for a school picnic, offering comfort and ease of movement. The romper is lightweight and practical for a fun day outdoors, while the small backpack is perfect for carrying snacks or toys."
"Male, 19, Inverted Triangle, Tall, 75kg, College Fresher’s Party, Casual Chic, Dark","A bomber jacket with ripped jeans and high-top sneakers, accessorized with a beanie and a silver chain. This casual chic outfit is trendy and edgy, perfect for a college fresher’s party. The bomber jacket adds structure to the shoulders, enhancing the inverted triangle body shape, while the ripped jeans add a cool, laid-back vibe."
"Female, 38, Rectangle, Medium, 70kg, Art Gallery Opening, Semi-Formal, Light","A sleeveless shift dress with block heels, accessorized with a statement necklace and an oversized clutch. This semi-formal outfit is perfect for an art gallery opening. The shift dress creates a sleek silhouette for a rectangle body shape, while the statement necklace adds a touch of boldness to the look."
"Male, 40, Athletic, Tall, 85kg, Casual Friday at Work, Smart Casual, Olive Skin","A slim-fit checked shirt paired with chinos and loafers, accessorized with a leather belt and a minimalist watch. This smart-casual look is ideal for a Casual Friday at work, offering both comfort and professionalism. The slim-fit shirt accentuates an athletic frame, while the loafers give a refined touch."
"Female, 35, Pear, Medium, 65kg, Date Night, Chic, Fair Skin","A satin slip dress with a cropped leather jacket and ankle-strap heels, accessorized with hoop earrings and a clutch. This chic date night outfit combines elegance and edge, flattering the pear shape by highlighting the waist and draping gracefully over the hips. The leather jacket adds a cool, trendy vibe."
"Boy, 7, Slim, Short, 28kg, Birthday Party, Casual, Medium Skin","A graphic t-shirt with cargo shorts and sneakers, accessorized with a baseball cap and a wristwatch. This playful casual look is perfect for a young boy’s birthday party. The graphic t-shirt adds fun, while the cargo shorts are practical for an active child, offering plenty of room for movement."
"Female, 25, Hourglass, Tall, 63kg, Wedding Guest, Semi-Formal, Olive Skin","A fitted mermaid gown with strappy heels, accessorized with chandelier earrings and a clutch. This elegant semi-formal outfit is perfect for a wedding guest, as the mermaid silhouette highlights the hourglass figure while maintaining a refined, graceful appearance. The strappy heels elongate the legs."
